product_id,title,category,cover_link,tokenized_desc
74021317,Cây Cam Ngọt Của Tôi,Tiểu Thuyết,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,cây cam ngọt của tôi josé mauro de vasconcelos tiểu_thuyết
74021317,Cây Cam Ngọt Của Tôi,Tiểu Thuyết,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,cây cam ngọt của tôi josé mauro de vasconcelos tiểu_thuyết
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Sách tư duy - Kỹ năng sống,https://salt.tikicdn.com/ts/product/d7/99/24/17bff8d26027846b2d7478ad4ba83fea.jpg,hành_tinh của một kẻ nghĩ nhiều nguyễn đoàn minh thư sách tư_duy kỹ_năng sống
73787185,Những Tù Nhân Của Địa Lý,Lĩnh vực khác,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,những tù_nhân của địa_lý tim marshall lĩnh_vực khác
52789367,Nhà Giả Kim (Tái Bản 2020),Tác phẩm kinh điển,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg,nhà giả kim tái_bản 2020 paulo coelho tác_phẩm kinh_điển
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Tiểu Thuyết,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,một thoáng ta rực_rỡ ở nhân_gian tiểu_thuyết
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Truyện ngắn - Tản văn - Tạp Văn,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg,điều kỳ_diệu của tiệm tạp_hóa namiya tái_bản higashino keigo truyện_ngắn tản_văn tạp_văn
167940010,Thao Túng Tâm Lý,Sách tư duy - Kỹ năng sống,https://salt.tikicdn.com/ts/product/90/49/97/ec88ab408c1997378344486c94dbac40.jpg,thao_túng tâm_lý shannon thomas sách tư_duy kỹ_năng sống
117238177,Thư Viện Nửa Đêm,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,https://salt.tikicdn.com/ts/product/8e/32/3d/e4487c4c7e335bbda4f06dd54d8e35b8.jpg,thư_viện nửa_đêm matt haig truyện giả_tưởng huyền_bí phiêu_lưu
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Tiểu Thuyết,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,một thoáng ta rực_rỡ ở nhân_gian tiểu_thuyết
73787185,Những Tù Nhân Của Địa Lý,Lĩnh vực khác,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,những tù_nhân của địa_lý tim marshall lĩnh_vực khác
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Sách tư duy - Kỹ năng sống,https://salt.tikicdn.com/ts/product/5b/96/23/348b84ca8e0d0b49bf9c8d9595336e69.jpg,không phải sói nhưng cũng đừng là cừu tặng kèm bookmark 2 mặt lê bảo ngọc sách tư_duy kỹ_năng sống
199216988,Càng Bình Tĩnh Càng Hạnh Phúc,Sách tư duy - Kỹ năng sống,https://salt.tikicdn.com/ts/product/ca/b9/76/3496cc7fd438e19e0a5732cba25e0aee.png,càng bình_tĩnh càng hạnh_phúc vãn tình sách tư_duy kỹ_năng sống
3954355,Yêu Những Điều Không Hoàn Hảo,Truyện ngắn - Tản văn - Tạp Văn,https://salt.tikicdn.com/ts/product/54/55/d6/4ceb6ba3bd81614df8ff4c1411b11f59.jpg,yêu những điều không hoàn_hảo hae min truyện_ngắn tản_văn tạp_văn
42230121,Hiểu Về Trái Tim (Tái Bản),Sách tư duy - Kỹ năng sống,https://salt.tikicdn.com/media/catalog/producttmp/35/e9/f2/4fc9547b96ed1e6a449ce4e06edb9010.jpg,hiểu về trái_tim tái_bản minh niệm sách tư_duy kỹ_năng sống
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Sách kinh tế học,https://salt.tikicdn.com/ts/product/6c/87/e7/db72a8050a15d86d8102cd21ab1d8b11.jpg,quyền_lực của địa_lý the power of geography tim marshall sách kinh_tế_học
52788072,Chiến Binh Cầu Vồng (Tái Bản 2020),Tiểu Thuyết,https://salt.tikicdn.com/ts/product/a1/ef/4f/0b39e40dca3827604c8bc4e867cc9423.jpg,chiến_binh cầu_vồng tái_bản 2020 andrea hirata tiểu_thuyết
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Truyện ngắn - Tản văn - Tạp Văn,https://salt.tikicdn.com/ts/product/38/bb/4b/5f03392a2fb98bc19b63de688b2ad218.jpg,thiên_tài bên trái kẻ điên bên phải tái_bản cao minh truyện_ngắn tản_văn tạp_văn
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Sách tư duy - Kỹ năng sống,https://salt.tikicdn.com/ts/product/2b/84/ff/cb34637573525a998596b58d6939411e.jpg,how psychology works hiểu hết về tâm_lý_học jo hemmings sách tư_duy kỹ_năng sống
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Truyện ngắn - Tản văn - Tạp Văn,https://salt.tikicdn.com/ts/product/f7/fb/9a/e8b9a94478dc887c4b84b6b6439f6335.jpg,đại_dương đen những câu_chuyện từ thế_giới của trầm_cảm đặng hoàng_giang truyện_ngắn tản_văn tạp_văn
7779328,Cú Săn Đêm,Tiểu Thuyết,https://salt.tikicdn.com/ts/product/45/6c/b1/1d809c7be82ee19ca6b7ddcb18a494bc.jpg,cú săn đêm samuel bjork tiểu_thuyết
188940817,Vị Thần Của Những Quyết Định,Sách Chiêm Tinh - Horoscope,https://salt.tikicdn.com/ts/product/0c/49/5f/751b9c711c12def9beb2a3bbc3290d77.jpg,vị thần của những quyết_định universe sách chiêm_tinh horoscope
15267827,Hoàng Tử Bé (Tái Bản 2019),Truyện kể cho bé,https://salt.tikicdn.com/ts/product/5c/e7/68/26838e18d7f96d562d828980520019d2.jpg,hoàng_tử bé tái_bản 2019 antoine de saintexupéry truyện kể cho bé
69219919,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),Muôn Kiếp Nhân Sinh (Khổ Nhỏ),https://salt.tikicdn.com/media/catalog/producttmp/df/75/ac/207386a97daf1b2338598005cc8139c9.jpg,muôn kiếp nhân sinh khổ nhỏ nguyên phong muôn kiếp nhân sinh khổ nhỏ
3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),Truyện ngắn - Tản văn - Tạp Văn,https://salt.tikicdn.com/ts/product/7a/18/8e/2f70de3ea7eec9c34f55e402254e27ed.jpg,bước chậm lại giữa thế_gian vội_vã tái_bản hae min truyện_ngắn tản_văn tạp_văn
